RID,NID,ID,Longitude,Latitude
1,1,S002,127.772757,35.891034
2,2,S002,127.648361,35.34674
3,3,S002,127.739861,35.354867
4,4,S002,127.712064,35.342648
5,5,S002,127.016701,36.464336
6,6,S002,126.550009,33.421158
7,7,S002,126.619353,33.384865
8,8,S002,126.55411,33.369141
9,9,S002,126.46317,33.310794
10,10,S002,128.9528252,37.4474112
11,11,S002,128.9535498,37.44644275
12,12,S002,127.5151767,35.34883085
13,13,S002,128.122237,38.21605667
14,14,S002,127.2407056,36.40941648
15,15,S003,127.698889,35.605217
16,16,S003,128.7318875,35.45703582
17,17,S003,127.6969556,35.18747168
18,18,S003,127.6970667,35.18713834
19,19,S003,127.5881777,35.13327723
20,20,S003,127.6756167,36.05058031
21,21,S003,127.8479862,36.0570553
22,22,S004,130.810591,37.490481
23,23,S004,130.908939,37.482055
24,24,S004,130.87597,37.460233
25,25,S004,130.852105,37.480664
26,26,S004,130.8354266,37.4752578
27,27,S004,130.8553511,37.53416096
28,28,S005,127.92324,34.791738
29,29,S005,127.712064,35.342648
30,30,S005,128.908518,36.79629
31,31,S005,128.524892,35.71569
32,32,S005,128.2604785,35.49165451
33,33,S005,127.8602648,35.16737359
34,34,S005,128.2791902,36.0949253
35,35,S005,128.2740842,36.09047716
36,36,S005,128.1009262,35.96229817
37,37,S005,127.6753719,35.35679524
38,38,S005,128.0788275,35.66317407
39,39,S005,127.602465,35.10179742
40,40,S005,128.2052968,35.36309059
41,41,S005,128.399454,35.19296521
42,42,S005,128.4054058,35.18506401
43,43,S005,128.2597229,35.07070956
44,44,S005,127.7196956,35.7101512
45,45,S005,128.52317,35.68837248
46,46,S005,128.9429385,36.77690539
47,47,S005,127.8536692,35.30688276
48,48,S005,127.7852927,36.60185631
49,49,S005,128.2945919,36.08316638
50,50,S005,128.2945086,36.08431916
51,51,S005,128.2984225,36.09658305
52,52,S005,128.2945113,36.09336082
53,53,S006,126.851656,34.720547
54,54,S006,127.648361,35.34674
55,55,S006,127.296051,35.147842
56,56,S006,127.962692,37.249863
57,57,S006,128.198496,37.200291
58,58,S006,128.484957,36.957434
59,59,S006,128.003202,37.09755
60,60,S006,127.210371,36.364565
61,61,S006,126.654779,36.466069
62,62,S006,128.962093,37.04323
63,63,S006,128.488562,36.951322
64,64,S006,128.810976,36.621999
65,65,S006,128.978908,36.166324
66,66,S006,129.1649,36.387929
67,67,S006,127.432031,38.111909
68,68,S006,127.188614,38.104427
69,69,S006,127.503057,37.994816
70,70,S006,127.613654,37.919762
71,71,S006,127.149854,37.209176
72,72,S006,127.276458,37.11809
73,73,S006,127.338196,38.104577
74,74,S006,127.495238,38.132595
75,75,S006,127.498033,38.002053
76,76,S006,127.612601,37.946343
77,77,S006,127.591689,38.129169
78,78,S006,127.751607,38.036357
79,79,S006,128.906163,37.103831
80,80,S006,128.91586,37.211275
81,81,S006,129.005187,37.157987
82,82,S006,128.508274,37.410401
83,83,S006,128.293869,37.524959
84,84,S006,128.285405,37.601794
85,85,S006,128.494209,38.146253
86,86,S006,128.134638,37.894732
87,87,S006,127.906548,38.077024
88,88,S006,128.134358,38.211064
89,89,S006,128.073619,35.673457
90,90,S006,126.382925,33.395196
91,91,S006,127.2698273,37.76138678
92,92,S006,127.7241952,35.71428965
93,93,S006,127.0724372,37.93879888
94,94,S006,128.0206033,36.7884477
95,95,S006,127.4756402,37.9354791
96,96,S006,127.44156,37.93650653
97,97,S006,127.9487646,37.89893099
98,98,S006,127.9694296,37.87729474
99,99,S006,128.9348123,35.65649821
100,100,S006,128.9069998,36.79523083
101,101,S006,128.0911518,37.8980321
102,102,S006,129.0769299,36.98270801
103,103,S006,128.2047673,35.37794134
104,104,S006,129.0892186,36.66210003
105,105,S006,127.7562371,38.18953769
106,106,S006,127.9085811,38.06472356
107,107,S006,127.7487347,38.0604444
108,108,S006,127.787126,38.1844135
109,109,S006,126.9892656,38.13023115
110,110,S006,127.9727031,35.49712105
111,111,S006,128.0556806,36.69448367
112,112,S006,127.5273003,38.11193123
113,113,S006,128.2353206,38.02861528
114,114,S006,128.1547661,38.09222679
115,115,S006,127.3878777,35.05519389
116,116,S006,126.5218611,37.04918061
117,117,S006,127.6334892,37.59796954
118,118,S006,128.206595,37.64666672
119,119,S006,128.0013727,37.71583343
120,120,S006,128.0013727,37.71583343
121,121,S006,128.0013727,37.71583343
122,122,S006,128.0013727,37.71583343
123,123,S006,126.5630553,35.19312733
124,124,S006,127.8586782,37.73469456
125,125,S006,127.9565949,37.66505564
126,126,S006,127.6109198,37.7236918
127,127,S006,127.0292862,37.4345113
128,128,S006,128.6084839,37.64777787
129,129,S006,128.6866395,37.63422508
130,130,S006,128.5883172,37.28894445
131,131,S006,128.5141783,37.40666671
132,132,S006,126.6947578,33.43190192
133,133,S006,126.376566,33.3435547
134,134,S006,128.9749256,37.27579163
135,135,S006,128.84547,37.41316668
136,136,S006,127.975539,35.87194413
137,137,S006,128.9785728,37.02049156
138,138,S006,128.9180394,37.16124994
139,139,S006,129.1032395,37.22293049
140,140,S006,129.0696339,37.10473324
141,141,S006,129.1469645,37.07608878
142,142,S006,128.2219031,37.03141386
143,143,S007,127.432031,38.111909
144,144,S007,127.155261,37.895349
145,145,S007,127.432073,37.941598
146,146,S007,127.613654,37.919762
147,147,S007,128.906163,37.103831
148,148,S007,128.91586,37.211275
149,149,S007,128.563177,37.462064
150,150,S007,128.508274,37.410401
151,151,S007,128.293869,37.524959
152,152,S007,128.285405,37.601794
153,153,S007,128.366303,37.685771
154,154,S007,128.415954,37.540501
155,155,S007,128.733592,37.64731
156,156,S007,128.668122,37.762653
157,157,S007,128.543076,37.798044
158,158,S007,128.425302,38.049144
159,159,S007,128.134638,37.894732
160,160,S007,128.40359,38.26255
161,161,S007,128.4515207,37.87068864
162,162,S007,128.4486286,37.87032927
163,163,S007,128.5644192,37.86741962
164,164,S007,128.3164913,38.31483381
165,165,S007,127.4381775,38.10670454
166,166,S007,127.3996936,38.01657357
167,167,S007,127.9521818,37.8870596
168,168,S007,128.954085,37.44972175
169,169,S007,128.1312164,37.65461875
170,170,S007,128.5416054,37.79341402
171,171,S007,128.5622254,37.78726837
172,172,S007,128.1889748,36.77040375
173,173,S007,128.2138472,36.76960503
174,174,S007,128.4985282,36.9388914
175,175,S007,128.9065306,37.11764789
176,176,S007,128.9051489,37.1162152
177,177,S007,128.9052804,37.11341102
178,178,S007,128.9108185,37.10620887
179,179,S007,128.9437103,37.10066235
180,180,S007,128.9419837,37.09891244
181,181,S007,128.9417517,37.09773076
182,182,S007,128.9596569,37.04333462
183,183,S007,128.7200503,36.02019937
184,184,S007,127.2264252,37.82180637
185,185,S007,127.1647592,37.91087437
186,186,S007,127.438477,37.92448013
187,187,S007,127.4928034,37.5859279
188,188,S007,128.9170268,36.79166464
189,189,S007,128.4168753,37.89358497
190,190,S007,128.4183812,37.8582446
191,191,S007,128.5646004,37.93536458
192,192,S007,128.5172142,37.83888645
193,193,S007,128.1222203,38.21507623
194,194,S007,128.2504088,37.60282504
195,195,S007,127.5683392,37.55242509
196,196,S007,128.53227,37.54636119
197,197,S007,128.6475867,37.61728897
198,198,S007,128.6712617,37.60769452
199,199,S007,129.0034284,37.41716666
200,200,S007,128.7841783,37.22061108
201,201,S007,128.9635672,37.14958326
202,202,S007,128.5709005,37.18408331
203,203,S007,129.1031728,37.21979438
204,204,S007,129.0963784,37.10188879
205,205,S007,129.1419589,37.08172212
206,206,S009,128.56836,37.036405
207,207,S009,128.836122,36.339789
208,208,S009,128.812642,36.785365
209,209,S009,127.088024,37.942358
210,210,S009,126.546106,37.740995
211,211,S009,126.421474,37.378142
212,212,S009,126.714122,37.553262
213,213,S009,126.79026,37.692349
214,214,S009,126.992193,37.660474
215,215,S009,127.272649,37.680487
216,216,S009,127.427892,37.671359
217,217,S009,127.35599,37.491494
218,218,S009,128.48471,37.116992
219,219,S009,127.803179,38.162033
220,220,S009,127.751607,38.036357
221,221,S009,127.816231,37.836582
222,222,S009,128.009158,37.71434
223,223,S009,128.932094,37.668907
224,224,S009,128.569706,37.876766
225,225,S009,128.693637,37.953146
226,226,S009,126.415585,37.391742
227,227,S009,126.093938,34.838484
228,228,S009,127.0508,34.442095
229,229,S009,127.180525,34.456404
230,230,S009,127.5501554,36.6282734
231,231,S009,127.6294461,36.580857
232,232,S009,127.6414757,36.54324377
233,233,S009,127.1753912,37.77471797
234,234,S009,127.8665057,36.80983315
235,235,S009,126.4512697,36.93339396
236,236,S009,126.5715749,35.63162606
237,237,S009,127.1755564,37.92500614
238,238,S009,127.0561783,36.75560659
239,239,S009,127.0561783,36.75560659
240,240,S009,127.0561783,36.75560659
241,241,S009,126.8259508,36.52312071
242,242,S009,129.0892186,36.66210003
243,243,S009,129.0666472,36.51439435
244,244,S009,127.1505565,38.13069601
245,245,S009,128.4510496,35.28278681
246,246,S009,129.2991689,36.72074772
247,247,S009,127.4374001,36.73232541
248,248,S009,127.4520224,38.24346546
249,249,S009,127.2946847,38.16763433
250,250,S009,127.3488839,38.30078033
251,251,S009,128.0278995,36.66749919
252,252,S009,128.0116836,36.50276374
253,253,S009,128.1437207,36.61101904
254,254,S009,127.8454643,37.50942228
255,255,S009,127.0332167,36.46093596
256,256,S009,126.6833167,37.43055569
257,257,S009,128.1870892,36.33955249
258,258,S009,127.6040389,36.11176089
259,259,S009,128.4547059,36.43105534
260,260,S009,128.4547059,36.43105534
261,261,S009,128.4027058,36.28913864
262,262,S009,128.7105626,36.38818477
263,263,S009,128.5945948,36.26199973
264,264,S009,128.5945948,36.26199973
265,265,S009,128.7385393,36.27233305
266,266,S009,128.7385393,36.27233305
267,267,S009,128.7964726,36.46301921
268,268,S009,128.9105588,36.48624976
269,269,S009,129.3979617,36.45108859
270,270,S009,129.3933811,36.45295804
271,271,S009,128.8676328,37.70451128
272,272,S009,128.8015395,37.51588893
273,273,S009,127.2179527,35.91769976
274,274,S009,126.4900636,35.84501925
275,275,S009,126.419433,35.80128591
276,276,S009,126.4198969,35.7989248
277,277,S009,128.9947782,36.09810243
278,278,S009,127.0424691,34.44249939
279,279,S009,128.4428753,36.21297195
280,280,S009,128.8457617,37.25453608
281,281,S009,128.8823145,37.48059447
282,282,S009,128.8269339,37.40577501
283,283,S009,127.7029558,37.13759727
284,284,S009,129.1100951,37.40419443
285,285,S009,129.183734,37.44402776
286,286,S009,129.1280395,37.40469442
287,287,S009,127.9277892,37.21500004
288,288,S009,128.3476504,37.19333333
289,289,S009,128.3558449,37.19769444
290,290,S009,128.4891227,37.20088888
291,291,S009,128.4820116,37.1896111
292,292,S009,128.4247615,37.02202772
293,293,S009,126.699869,34.50659388
294,294,S009,128.6701642,35.79547738
295,295,S009,128.7368975,35.93480519
296,296,S009,128.5836505,37.06938883
297,297,S009,126.0479911,34.64549397
298,298,S009,126.3327605,33.95316598
299,299,S009,126.247455,34.57108282
300,300,S010,127.600158,35.82571
301,301,S010,127.803179,38.162033
302,302,S010,128.91586,37.211275
303,303,S010,128.508274,37.410401
304,304,S010,128.600833,37.58348
305,305,S010,128.733592,37.64731
306,306,S010,128.668122,37.762653
307,307,S010,128.543076,37.798044
308,308,S010,128.494209,38.146253
309,309,S010,128.425908,38.190934
310,310,S010,128.40359,38.26255
311,311,S010,127.2695496,37.75916481
312,312,S010,128.3243202,36.85002883
313,313,S010,128.5663448,37.92691279
314,314,S010,128.122237,38.21605667
315,315,S010,128.1126616,38.32271646
316,316,S010,128.1126616,38.32271646
317,317,S010,127.3928227,38.19646497
318,318,S010,127.9563727,37.66569453
319,319,S010,128.6866395,37.63422508
320,320,S010,129.0018451,37.41802777
321,321,S010,128.924495,37.15173604
322,322,S010,128.5984005,37.08199995
323,323,S010,129.1035562,37.21821938
324,324,S010,129.1804645,37.20533326
325,325,S011,127.362847,35.914256
326,326,S011,127.428976,35.639417
327,327,S011,127.739861,35.354867
328,328,S011,127.712064,35.342648
329,329,S011,127.962692,37.249863
330,330,S011,128.198496,37.200291
331,331,S011,128.568013,37.035939
332,332,S011,128.484957,36.957434
333,333,S011,128.256239,36.984858
334,334,S011,127.976871,36.989931
335,335,S011,127.323025,36.141208
336,336,S011,128.962093,37.04323
337,337,S011,129.094084,36.856156
338,338,S011,128.908518,36.79629
339,339,S011,128.811109,36.981322
340,340,S011,128.709285,37.038951
341,341,S011,128.488562,36.951322
342,342,S011,128.59719,36.668519
343,343,S011,128.198594,36.75635
344,344,S011,128.100605,36.788497
345,345,S011,127.872967,36.535126
346,346,S011,127.93022,36.285789
347,347,S011,128.403359,36.289595
348,348,S011,128.79685,36.094173
349,349,S011,128.78493,36.196671
350,350,S011,128.836122,36.339789
351,351,S011,128.978908,36.166324
352,352,S011,129.1649,36.387929
353,353,S011,129.298218,36.716064
354,354,S011,129.256564,36.748479
355,355,S011,129.098015,36.803451
356,356,S011,129.276647,36.2771
357,357,S011,129.22199,36.153854
358,358,S011,129.086568,35.791241
359,359,S011,129.110192,36.077673
360,360,S011,128.966332,35.835156
361,361,S011,128.773445,35.727517
362,362,S011,128.524892,35.71569
363,363,S011,127.432031,38.111909
364,364,S011,127.188614,38.104427
365,365,S011,127.088024,37.942358
366,366,S011,127.171529,37.802839
367,367,S011,126.714122,37.553262
368,368,S011,127.427892,37.671359
369,369,S011,127.432073,37.941598
370,370,S011,127.503057,37.994816
371,371,S011,127.613654,37.919762
372,372,S011,127.548445,37.561624
373,373,S011,127.296941,36.929619
374,374,S011,127.276458,37.11809
375,375,S011,127.426508,37.437405
376,376,S011,127.20142,38.183782
377,377,S011,127.338196,38.104577
378,378,S011,127.495238,38.132595
379,379,S011,127.498033,38.002053
380,380,S011,127.612601,37.946343
381,381,S011,127.591689,38.129169
382,382,S011,127.803179,38.162033
383,383,S011,128.009158,37.71434
384,384,S011,128.0958,37.730721
385,385,S011,127.8507,37.538565
386,386,S011,128.117575,37.275519
387,387,S011,128.91586,37.211275
388,388,S011,129.226887,37.105367
389,389,S011,129.218186,37.138729
390,390,S011,129.071478,37.521862
391,391,S011,128.845278,37.254204
392,392,S011,128.508274,37.410401
393,393,S011,128.250739,37.441211
394,394,S011,128.285405,37.601794
395,395,S011,128.366303,37.685771
396,396,S011,128.415954,37.540501
397,397,S011,128.600833,37.58348
398,398,S011,128.897414,37.586054
399,399,S011,128.932094,37.668907
400,400,S011,128.668122,37.762653
401,401,S011,128.569706,37.876766
402,402,S011,128.494209,38.146253
403,403,S011,128.31941,38.098437
404,404,S011,128.425302,38.049144
405,405,S011,128.356177,37.89448
406,406,S011,128.134638,37.894732
407,407,S011,127.906548,38.077024
408,408,S011,128.134358,38.211064
409,409,S011,127.682852,35.774181
410,410,S011,128.949176,35.374576
411,411,S011,127.6243359,36.53827923
412,412,S011,126.9200231,36.82729761
413,413,S011,127.5825979,35.54547447
414,414,S011,127.7707577,35.72217792
415,415,S011,126.3936648,36.80229757
416,416,S011,127.3733995,35.68986977
417,417,S011,127.2823462,35.57469173
418,418,S011,128.2422501,36.81594604
419,419,S011,127.8529946,37.97503264
420,420,S011,127.8529946,37.97503264
421,421,S011,127.8333297,37.97417149
422,422,S011,127.8415528,37.826022
423,423,S011,127.44156,37.93650653
424,424,S011,127.6847776,36.78708458
425,425,S011,127.5905095,36.94081366
426,426,S011,127.5538388,36.8360504
427,427,S011,129.2162557,35.54917045
428,428,S011,129.0176702,35.54308922
429,429,S011,128.7799412,37.78844978
430,430,S011,127.2571624,37.69451664
431,431,S011,127.2675043,37.57797738
432,432,S011,126.4133858,37.70699623
433,433,S011,126.437914,37.71985599
434,434,S011,126.2844135,37.78349774
435,435,S011,126.7003321,37.70015979
436,436,S011,129.316842,36.75023341
437,437,S011,129.3168531,36.75021952
438,438,S011,128.9357567,35.65080441
439,439,S011,126.9451357,37.62223416
440,440,S011,127.0510065,35.4249851
441,441,S011,127.0511176,35.4249851
442,442,S011,128.9170268,36.79166464
443,443,S011,128.2739266,35.52398098
444,444,S011,128.2774264,35.51867604
445,445,S011,128.3703187,37.87055672
446,446,S011,128.0318994,37.83936622
447,447,S011,129.1917124,36.89883784
448,448,S011,128.4261527,37.85583383
449,449,S011,128.3375413,37.84722306
450,450,S011,128.3111523,37.81944551
451,451,S011,128.2800673,35.26867622
452,452,S011,127.1640384,38.15379619
453,453,S011,127.550958,38.22820679
454,454,S011,129.3137974,36.5505393
455,455,S011,129.2417329,35.39233533
456,456,S011,129.3074906,36.70421632
457,457,S011,127.9083059,38.04770266
458,458,S011,127.8129291,38.08729242
459,459,S011,128.6088053,36.66992071
460,460,S011,127.8830441,38.2765896
461,461,S011,127.5780054,36.61613117
462,462,S011,126.991293,38.14820129
463,463,S011,126.9831839,38.02510442
464,464,S011,126.891803,38.05351722
465,465,S011,127.4830979,38.19585731
466,466,S011,127.4818426,38.18305045
467,467,S011,127.48477,38.19349926
468,468,S011,127.4848616,38.19321596
469,469,S011,127.4821091,38.19182444
470,470,S011,127.4814647,38.19157724
471,471,S011,127.3968029,38.19596227
472,472,S011,127.4791843,38.19666275
473,473,S011,127.4383536,38.30126976
474,474,S011,127.3257933,38.14000163
475,475,S011,127.4948412,38.20043464
476,476,S011,127.4180683,38.13712202
477,477,S011,129.3834838,36.71268816
478,478,S011,128.2353206,38.02861528
479,479,S011,128.1499887,38.09194901
480,480,S011,128.2906027,38.18750565
481,481,S011,128.4121064,38.34791021
482,482,S011,126.3866193,36.44249434
483,483,S011,126.3427609,36.4430499
484,484,S011,126.6047443,36.41060821
485,485,S011,128.0685116,37.58046394
486,486,S011,128.2168561,37.60276949
487,487,S011,128.4142283,37.56519446
488,488,S011,127.2425362,36.41650537
489,489,S011,127.2758473,36.38774981
490,490,S011,127.4297473,36.38684702
491,491,S011,126.836122,35.10277728
492,492,S011,126.6592638,36.44731932
493,493,S011,127.3368971,35.09273279
494,494,S011,127.2639916,35.19553561
495,495,S011,127.644492,37.58962787
496,496,S011,127.5683392,37.55242509
497,497,S011,127.8602421,37.52864172
498,498,S011,127.5399001,36.45894425
499,499,S011,127.7585113,36.38355532
500,500,S011,126.4153583,37.38426404
501,501,S011,128.2998172,37.66622227
502,502,S011,128.2998172,37.66622227
503,503,S011,126.8943168,37.36570288
504,504,S011,126.8440056,37.35966677
505,505,S011,126.5381358,34.78821611
506,506,S011,126.538658,34.78986056
507,507,S011,126.5331441,34.90459392
508,508,S011,126.5342747,34.90787448
509,509,S011,126.5303024,34.90684115
510,510,S011,126.7316664,34.85488834
511,511,S011,126.7285553,34.86045501
512,512,S011,126.7314053,34.85317723
513,513,S011,127.8680671,37.73094455
514,514,S011,127.2704723,36.32364979
515,515,S011,127.4839668,36.31905533
516,516,S011,128.3639448,36.48983029
517,517,S011,126.4634,37.27059178
518,518,S011,127.537539,36.3608693
519,519,S011,127.8598194,34.85914109
520,520,S011,127.9206583,34.79147996
521,521,S011,127.6052943,34.6625994
522,522,S011,128.1527973,34.9394522
523,523,S011,128.0932528,35.22702728
524,524,S011,128.4078529,35.19338558
525,525,S011,128.4174029,35.02886887
526,526,S011,128.5324029,35.21028557
527,527,S011,128.5788752,35.0804272
528,528,S011,127.4370278,36.19631926
529,529,S011,128.7978504,36.47294421
530,530,S011,128.8468449,36.34077751
531,531,S011,129.053181,36.26425524
532,532,S011,129.1848449,36.33226358
533,533,S011,129.2854116,36.31461079
534,534,S011,127.036464,37.40996684
535,535,S011,127.1919501,37.45721962
536,536,S011,127.2884001,37.28063901
537,537,S011,127.2884001,37.28063901
538,538,S011,127.2914557,37.29086123
539,539,S011,127.8397586,37.42672233
540,540,S011,127.8592392,37.31198619
541,541,S011,127.9474281,37.25420561
542,542,S011,128.6072617,37.64979732
543,543,S011,128.6563811,37.63775842
544,544,S011,128.5421033,37.55672785
545,545,S011,128.5299755,37.51462229
546,546,S011,128.5335422,37.5329084
547,547,S011,128.5572061,37.51638895
548,548,S011,128.6659283,37.61890841
549,549,S011,128.8516228,37.67286119
550,550,S011,128.7734006,37.51991671
551,551,S011,128.2418171,37.44233341
552,552,S011,128.2418171,37.44233341
553,553,S011,128.2257893,37.44719452
554,554,S011,128.2257893,37.44719452
555,555,S011,128.2257893,37.44719452
556,556,S011,128.2320671,37.31472226
557,557,S011,128.2320671,37.31472226
558,558,S011,128.2320671,37.31472226
559,559,S011,128.2320671,37.31472226
560,560,S011,128.2711338,37.39037506
561,561,S011,128.4317949,37.33975003
562,562,S011,128.6677061,37.49119449
563,563,S011,128.5273449,37.39877781
564,564,S011,126.3256077,33.44851862
565,565,S011,127.6695417,36.06092754
566,566,S011,127.9293029,36.07117196
567,567,S011,127.1847331,34.72794389
568,568,S011,128.9580004,36.15191356
569,569,S011,129.2879116,36.07542739
570,570,S011,129.2633338,36.23943577
571,571,S011,127.8394835,36.18793589
572,572,S011,126.633472,35.78653034
573,573,S011,126.6314386,35.78679978
574,574,S011,126.6296553,35.788172
575,575,S011,128.84547,37.41316668
576,576,S011,128.7826281,36.089933
577,577,S011,127.6922141,37.07727225
578,578,S011,127.7236641,37.0782028
579,579,S011,129.1038173,37.31986107
580,580,S011,128.4668725,35.990233
581,581,S011,128.2555863,35.88575522
582,582,S011,129.0804921,35.89651903
583,583,S011,128.9276809,35.80125791
584,584,S011,128.9363564,37.03030892
585,585,S011,128.8376505,37.01405546
586,586,S011,128.7731227,37.17549995
587,587,S011,129.2936227,35.79722177
588,588,S011,128.3770393,37.12361109
589,589,S011,128.4307337,37.0250555
590,590,S011,128.4307337,37.0250555
591,591,S011,128.4491225,35.76953572
592,592,S011,128.6026475,35.98984132
593,593,S011,126.5547329,34.40888831
594,594,S011,126.5561218,34.40888831
595,595,S011,128.6388727,37.0855555
596,596,S011,128.7251227,37.20494441
597,597,S011,128.5723449,37.18024997
598,598,S011,128.5359004,37.12786107
599,599,S011,128.5806782,37.07361106
600,600,S011,129.1202201,37.24323883
